rank,domain,submission_url,categoria,tipo,custo,registro,aprovacao,dofollow,score,notes
13,futuretools.io,https://www.futuretools.io/submit-a-tool,AI tools,SEMI_AUTO,gratis,nome+email,seletiva (Matt Wolfe),unknown,70,"Audiencia enorme de AI; aprovacao dificil mas custo zero"
14,findastrologer.com,https://www.findastrologer.com/submit-listings/,astrologia (nicho),SEMI_AUTO,gratis + pago opc,sim,unknown,unknown,70,"Aceita 'astrology services and products'"
15,wellfound.com,https://wellfound.com,startup/perfil,SEMI_AUTO,gratis,sim,leve,nofollow (DR~90),68,"Perfil de startup remote/online"
16,smollaunch.com,https://smollaunch.com,AI/startup,SEMI_AUTO,gratis (10 slots/sem),sim,moderacao,link permanente (dofollow nao explicito),68,"Launch as segundas; featured $15-19"
17,f6s.com,https://www.f6s.com,startup/perfil,AUTO,gratis,sim,nao,nofollow,66,"'Always free'; perfil indexavel"
18,peerlist.io,https://peerlist.io/launchpad,startup/perfil,SEMI_AUTO,gratis,sim (perfil completo),guidelines,unknown,65,"Launch semanal segunda; 403 p/ bots — abrir no navegador"
19,launchingnext.com,https://www.launchingnext.com/submit/,startup,SEMI_AUTO,gratis ($99 expedite),nao,review diario,unknown,65,"DA ~52; listagem permanente"
20,manta.com,https://www.manta.com/business-listings/add-your-company,citacao US,SEMI_AUTO,gratis,sim,verificacao,historicamente dofollow,62,"Aceita home-based/online"
21,microlaunch.net,https://microlaunch.net,startup,SEMI_AUTO,gratis,sim,leaderboard,unknown,62,"~2.250 visitantes/dia"
22,pitchwall.co,https://pitchwall.co/submit,startup,SEMI_AUTO,gratis,provavel,sim,unknown,62,"Ex-BetaPage; 65k+ produtos"
23,substack.com,https://substack.com,conteudo,AUTO,gratis,sim,nao,posts frequentemente dofollow,60,"Newsletter astrotarot.substack.com com link no about e posts"
24,smartcustomer.com,https://biz.smartcustomer.com/register,review/perfil,AUTO,gratis,sim,nao,provavel nofollow,60,"Ex-Sitejabber (rebrand 2025); perfis antigos seguem indexados"
25,spiritofchange.org,https://www.spiritofchange.org/alternative-health-directory/submit-a-new-listing/,holistico (nicho),SEMI_AUTO,basic gratis / featured $75-ano,form,sim (publisher),unknown,60,"Revista holistica estabelecida; online cai em 'Online Resources'"
26,powerusers.ai,https://powerusers.ai/submit-ai-tool/,AI tools,SEMI_AUTO,gratis,sim,curadoria,unknown,60,"2763 tools; comunidade ativa"
27,brownbook.net,https://www.brownbook.net/add-business,citacao global,AUTO,gratis,sim,nao (imediato),historicamente dofollow,60,"Um dos mais permissivos ainda vivos"
28,wordpress.com,https://wordpress.com/start,conteudo,AUTO,gratis,sim,nao,dofollow em posts,58,"Blog satelite com conteudo original"
29,tinylaunch.com,https://tinylaunch.com,AI/startup,SEMI_AUTO,gratis,sim,leve,SIM (DR72) MAS exige badge reciproco,58,"CUIDADO: dofollow condicionado a link de volta — usar so este; nao repetir o padrao em escala"
30,insidr.ai,https://www.insidr.ai/submit-tools/,AI tools,SEMI_AUTO,gratis,form,editorial,unknown,58,"500+ tools; atualizacao semanal"
31,powerfortunes.com,https://www.powerfortunes.com/astrology-directory.php,astrologia (nicho),EDITORIAL,unknown,nao,sim,unknown,56,"Categorias Astrology/Tarot/Psychics; ultima atualizacao 2022"
32,blogger.com,https://www.blogger.com,conteudo,AUTO,gratis,sim,nao,dofollow em posts,55,"Propriedade Google"
33,quora.com,https://www.quora.com,Q&A/perfil,AUTO,gratis,sim,nao,nofollow,55,"Perfil com link + Space 'AI Tarot & Astrology'; forte trafego referral"
34,tupalo.com,https://new.tupalo.biz/en/b/i/z/add,citacao,SEMI_AUTO,gratis (verif. 12eur/5anos),sim,opcional,link presente,55,"Cadastro base gratis"
35,betabound.com,https://www.betabound.com/announce/,startup/beta,SEMI_AUTO,gratis,sim,sim,unknown,55,"DA ~60; enquadrar como beta testing"
36,soulsearch.io,https://www.soulsearch.io/join,espiritual (nicho),SEMI_AUTO,freemium,sim,unknown,unknown,54,"Aceita praticantes e negocios"
37,similarlabs.com,https://similarlabs.com/submit,startup,SEMI_AUTO,ver form,sim,sim,unknown (DR67 anunciado),54,"38.7k visitas/mes; confirmar custo no form"
38,aixploria.com,https://www.aixploria.com/en/add-ai/,AI tools,SEMI_AUTO,fila gratis + fast-track pago,form,sim,unknown,52,"Confirmar precos no form"
39,listmyai.net,https://listmyai.net/submit-ai-tools,AI tools,SEMI_AUTO,gratis (signup),sim,unknown,unknown,50,"Publica guia de 50+ diretorios AI para expandir lista"
40,sideprojectors.com,https://www.sideprojectors.com,startup,SEMI_AUTO,gratis,sim,leve,unknown,50,"Usar modo showcase"
41,uno.directory,https://uno.directory/submit,startup,SEMI_AUTO,free + premium,unknown,unknown,unknown,48,"Confirmar dofollow"
42,vocal.media,https://vocal.media,conteudo,SEMI_AUTO,gratis,sim,moderacao leve,nofollow,48,"Nicho Futurism/Spirituality aceita tarot"
43,dang.ai,https://dang.ai/submit,AI tools,SEMI_AUTO,fila gratis + pago,sim (email link),sim,unknown,46,"Login antes de ver precos"
44,tumblr.com,https://www.tumblr.com/register,conteudo/social,AUTO,gratis,sim,nao,nofollow,45,"Comunidade tarot/witchblr ativa"
45,newsbreak.com,https://creators.newsbreak.com/register,conteudo,SEMI_AUTO,gratis,sim,aplicacao obrigatoria,nofollow,45,"So com conteudo de angulo US-local"
46,bbb.org,https://www.bbb.org/get-listed,perfil/trust,SEMI_AUTO,perfil basico gratis,sim,sim,nofollow provavel,45,"Fazer o gratis; IGNORAR accreditation paga"
47,reviews.io,https://www.reviews.io,review,SEMI_AUTO,free tier (25 convites/mes),sim,nao,unknown,44,"Perfil publico indexavel"
48,hotfrog.com,https://www.hotfrog.com,citacao,AUTO,gratis,sim,nao,unknown,42,"403 p/ bots — verificar no navegador"
49,merchantcircle.com,https://www.merchantcircle.com,citacao US,AUTO,gratis,sim,nao,unknown,40,"Historicamente exige cidade US"
50,devhunt.org,https://devhunt.org,dev tools,SEMI_AUTO,gratis,sim (GitHub),sim,unknown,38,"Fit fraco (B2C)"
51,youtarot.app,https://www.youtarot.app/pages/local-readers/submit,tarot (nicho),UGC,gratis,unknown,review,unknown,38,"Concorrente indireto que lista readers"
52,realmsofthearcane.com,https://www.realmsofthearcane.com/newlink.html,tarot (nicho),AUTO,gratis,nao,unknown,unknown,35,"Semi-abandonado; esforco ~zero; tentar"
53,cylex.us.com,https://www.cylex.us.com,citacao,AUTO,gratis,sim,nao,unknown,35,"Verificar no navegador"
54,davidcunliffe.com,https://www.davidcunliffe.com/link-exchange/,tarot (nicho),SEMI_AUTO,gratis MAS link reciproco obrigatorio,nao,sim (checa reciproco),unknown,30,"Link exchange puro — so se aceitar por em pagina de links; risco moderado"
55,storeboard.com,https://www.storeboard.com,citacao,AUTO,gratis,sim,nao,unknown,25,"Qualidade baixa; ultima prioridade"
